id;NumberOfModules;NumberOfFragments;EvaluationTime;ModuleConfiguration;
1;49;5141;223;Statistics#Memory_Budget + SynchronizedIO + Statistics#Latches + Statistics#INCompressor + Statistics#FSync + Statistics#Evictor + Statistics#Cleaner + NIO + Memory_Budget#LookAHEADCache + Memory_Budget#Evictor + LookAHEADCache + Logging_Severe + Logging_Recovery + Logging_Info + Logging_FileHandler + Logging_DbLogHandler + Logging_Config + Logging_Base#Logging_Severe + Logging_Base#Logging_Recovery + Logging_Base#Logging_FileHandler + Logging_Base#Logging_DbLogHandler + Logging_Base + Latches#FileHandleCache + Latches + IO#SynchronizedIO + IO + INCompressor#Evictor + INCompressor + FileHandleCache + FSync + EvictorDaemon + Evictor#EvictorDaemon + Evictor#Critical_Eviction + Environment_Locking + Critical_Eviction + CleanerDaemon + Cleaner#Memory_Budget + Cleaner#LookAHEADCache + Cleaner#CleanerDaemon + CheckpointerDaemon + CheckLeaks + ( Base -> Memory_Budget ) + ( Evictor -> Memory_Budget ) + ( Base -> Statistics ) + ( Evictor -> Cleaner );
2;15;3245;36;SynchronizedIO + TruncateOp + NIO + Logging_Recovery + Logging_Info + Logging_Fine + Logging_Evictor + Logging_Base#Logging_Recovery + Logging_Base#Logging_Fine + Logging_Base#Logging_Evictor + Logging_Base + CheckpointerDaemon + CheckLeaks + ( Base -> Memory_Budget );
3;18;3396;109;NIO + TruncateOp + Memory_Budget#LookAHEADCache + LookAHEADCache + Logging_Recovery + Logging_Finer + Logging_Base#Logging_Recovery + Logging_Base#Logging_Finer + Logging_Base + Environment_Locking + Critical_Eviction + CleanerDaemon + ( Base -> Memory_Budget ) + ( Base -> DiskFullErro ) + ( DeleteOP -> INCompressor );
4;2;2787;17;Base + Environment_Locking;
5;14;2961;86;Logging_Fine + Logging_Finest + Logging_Base#Logging_Finest + Logging_Base#Logging_Fine + Logging_Base + FileHandleCache + EvictorDaemon + CleanerDaemon + ChunkedNIO + CP_Time#Logging_Finest + ( Base -> DiskFullErro ) + ( Base -> CP_Time );
6;58;5636;411;TruncateOp + Verifier + Transactions#Latches + Transactions#Cleaner + SynchronizedIO + Statistics#Verifier#Latches + Statistics#Verifier + Statistics#Transactions + Statistics#Memory_Budget + Statistics#Latches + Statistics#Evictor + Statistics#Cleaner + RenameOp + NIO#ChunkedNIO + NIO + Memory_Budget#Evictor + Logging_Severe + Logging_Finest + Logging_Finer + Logging_Fine + Logging_Evictor + Logging_ConsoleHandler + Logging_Cleaner + Logging_Base#Logging_Severe + Logging_Base#Logging_Finest + Logging_Base#Logging_Finer + Logging_Base#Logging_Fine + Logging_Base#Logging_Evictor + Logging_Base#Logging_Cleaner + Logging_Base + Latches#FileHandleCache + Latches + IO#SynchronizedIO + IO + FileHandleCache + Environment_Locking + CleanerDaemon + Cleaner#Memory_Budget + Cleaner#CleanerDaemon + ChunkedNIO + CP_Bytes#Logging_Finest + CP_Bytes + ( Base -> Checksum ) + ( Base -> Memory_Budget ) + ( Transactions -> Cleaner ) + ( Evictor -> Memory_Budget ) + ( Transactions -> Base ) + ( Base -> Statistics ) + ( Evictor -> Cleaner ) + ( Base -> DiskFullErro );
7;38;4564;224;Statistics#Transactions + Transactions#Cleaner + Statistics#INCompressor + Statistics#FSync + Statistics#Evictor + Statistics#Cleaner + Logging_Recovery + Logging_Fine + Logging_FileHandler + Logging_Evictor + Logging_DbLogHandler + Logging_Config + Logging_Cleaner + Logging_Base#Logging_Recovery + Logging_Base#Logging_Fine + Logging_Base#Logging_FileHandler + Logging_Base#Logging_Evictor + Logging_Base#Logging_DbLogHandler + Logging_Base#Logging_Cleaner + Logging_Base + INCompressor#Evictor + INCompressor + FileHandleCache + FSync + EvictorDaemon + Evictor#EvictorDaemon + Environment_Locking + CheckpointerDaemon + ( Transactions -> Cleaner ) + ( Transactions -> Base ) + ( Base -> Statistics ) + ( Evictor -> Cleaner ) + ( Base -> CP_Time );
8;24;4539;129;Statistics#Latches + Statistics#Memory_Budget + Statistics#INCompressor + Logging_Severe + Logging_Finer + Logging_FileHandler + Logging_Cleaner + Logging_Base#Logging_Severe + Logging_Base#Logging_Finer + Logging_Base#Logging_FileHandler + Logging_Base#Logging_Cleaner + Logging_Base + Latches#FileHandleCache + Latches + FileHandleCache + Environment_Locking + CleanerDaemon + CP_Bytes + ( Base -> Memory_Budget ) + ( Base -> Statistics ) + ( DeleteOP -> INCompressor );
9;37;4551;334;SynchronizedIO + Verifier + Statistics#Verifier + Statistics#Transactions + Statistics#Memory_Budget + Statistics#INCompressor + Statistics#FSync + Logging_Recovery + Logging_Finest + Logging_DbLogHandler + Logging_Base#Logging_Recovery + Logging_Base#Logging_Finest + Logging_Base#Logging_DbLogHandler + Logging_Base + INCompressor#Verifier + INCompressor + FSync + EvictorDaemon + CleanerDaemon + CheckpointerDaemon + CP_Time#Logging_Finest + CP_Bytes#Logging_Finest + CP_Bytes#CheckpointerDaemon + CP_Bytes#CP_Time + CP_Bytes + ( Base -> Checksum ) + ( Base -> Memory_Budget ) + ( Transactions -> Base ) + ( Base -> Statistics ) + ( Base -> DiskFullErro ) + ( Base -> CP_Time );
10;52;5164;315;Transactions#Latches + Verifier + Transactions#Cleaner + SynchronizedIO + Memory_Budget#Evictor + Logging_Info + Logging_Finest + Logging_Fine + Logging_FileHandler + Logging_Evictor + Logging_DbLogHandler + Logging_ConsoleHandler + Logging_Cleaner#Cleaner#DeleteOP + Logging_Cleaner + Logging_Base#Logging_Finest + Logging_Base#Logging_Fine + Logging_Base#Logging_FileHandler + Logging_Base#Logging_Evictor + Logging_Base#Logging_DbLogHandler + Logging_Base#Logging_Cleaner + Logging_Base + Latches#FileHandleCache + Latches + FileHandleCache + FSync + EvictorDaemon + Evictor#EvictorDaemon + Evictor#Critical_Eviction + DeleteOP#Evictor + Critical_Eviction + Cleaner#Memory_Budget + CheckLeaks + CP_Bytes#Logging_Finest + CP_Bytes + ( Cleaner#DeleteOP -> Cleaner ) + ( Evictor -> DeleteOP ) + ( Base -> Checksum ) + ( Base -> Memory_Budget ) + ( Transactions -> Cleaner ) + ( DeleteOP -> Cleaner ) + ( Evictor -> Memory_Budget ) + ( Transactions -> Base ) + ( Evictor -> Cleaner );
